Yearly_ExpensesK,Avg_Residancy_Altitude,Overall_happiness_score,Will_vote_only_large_party,Financial_agenda_matters,Yearly_IncomeK,Most_Important_Issue,Vote
910.406293347,40.9561889951,979.364642285,1.0,1.0,983.972726652,5.0,8
172.69413425,96.9461544588,349.51018723,1.0,1.0,599.425506137,5.0,5
482.528463703,406.109053342,439.230470845,0.0,0.0,698.08660498,0.0,1
666.726287437,70.8845658974,667.537887038,1.0,0.0,615.141769093,1.0,3
733.805183847,42.7005890741,938.155128439,1.0,1.0,428.070988273,6.0,5
391.409409654,13.0867728924,874.907437973,1.0,0.0,705.347324549,2.0,7
443.442239749,90.9588078899,751.355757834,1.0,0.0,606.354426499,4.0,4
570.961933235,32.8834661745,647.265155926,1.0,0.0,642.179913051,0.0,0
380.836898295,91.6990431831,840.321789536,1.0,0.0,670.25393412,0.0,7
596.136787462,163.536170918,635.713660666,1.0,0.0,578.221847955,0.0,3
416.397042569,7.29261794758,775.462839977,1.0,0.0,583.172451405,2.0,4
943.376268027,65.7623238768,986.387837029,1.0,1.0,967.50179092,5.0,8
26.7791969236,11.9402350366,320.059811418,1.0,1.0,294.677093139,5.0,8
405.639250447,238.038411369,591.639222961,1.0,0.0,577.855483013,1.0,0
754.038978929,428.991866356,530.612969949,0.0,0.0,563.466040992,0.0,1
611.509161521,71.2303955369,709.254259737,1.0,0.0,648.955703065,7.0,7
603.634938481,67.5939837154,853.192745807,1.0,0.0,622.831844698,4.0,9
376.836923728,94.2312089954,848.673721851,1.0,0.0,690.806071986,2.0,7
511.443154085,206.166587182,778.545341124,1.0,0.0,621.313588867,0.0,9
436.698803577,62.3302983107,621.196018389,1.0,0.0,582.252840124,7.0,0
590.370123227,233.45174558,666.70086935,1.0,0.0,642.027171125,0.0,0
346.92810705,119.085072102,570.090181252,1.0,0.0,574.252375034,7.0,9
415.162675816,174.150510996,769.247867696,1.0,0.0,592.825850409,2.0,4
436.426174601,152.463322977,762.946887606,1.0,0.0,572.813947108,7.0,4
384.077506649,295.363749497,558.085089342,1.0,0.0,597.345895968,7.0,9
436.309365495,196.571409333,614.281329066,1.0,0.0,573.207546939,2.0,0
852.080374829,61.341651163,592.136725122,1.0,1.0,399.287156528,6.0,5
403.316656413,45.2311096369,604.163763625,1.0,0.0,574.039879384,4.0,9
417.284961533,90.7204005081,766.566208863,1.0,0.0,665.976077575,1.0,9
383.048514214,112.977719496,831.775220929,1.0,0.0,694.005667392,7.0,7
372.964841588,147.120270356,860.849902372,1.0,0.0,710.319694268,4.0,7
811.719114427,151.273955925,969.922281102,1.0,1.0,992.424309361,3.0,8
632.976846536,2.2459049323,577.073181006,0.0,1.0,535.46061553,2.0,6
397.717356016,53.9183961492,589.810420224,1.0,0.0,576.371483983,4.0,0
548.816756345,39.2091794936,615.656870149,1.0,1.0,952.63872366,3.0,8
544.221457851,201.580986931,783.802477452,1.0,0.0,551.859263828,1.0,9
591.602670011,47.0576203414,719.518010124,1.0,0.0,666.355026406,7.0,7
566.051424968,11.052662302,645.099114647,1.0,0.0,627.032259495,7.0,0
804.601023302,160.038678843,692.534335002,1.0,0.0,844.941053606,1.0,4
101.749457419,61.6760016868,442.267769426,1.0,1.0,994.187788378,3.0,8
599.259527959,216.110039816,714.887012117,1.0,0.0,639.100400279,1.0,7
459.358858791,153.204822758,881.242656422,1.0,0.0,609.114469388,7.0,9
404.220045157,127.51473075,802.031994849,1.0,0.0,565.323390457,4.0,4
605.161703427,246.670348638,659.182339067,1.0,0.0,644.799128072,2.0,0
427.580398099,306.397618596,778.504166504,1.0,0.0,573.724880709,7.0,4
623.572081185,248.333439499,646.267892882,1.0,0.0,586.305268641,0.0,3
527.061138573,420.353401692,582.395425227,0.0,0.0,563.466040992,4.0,1
369.950333085,88.5274244769,614.873113004,1.0,0.0,564.525770173,1.0,9
425.97655733,106.089920369,645.685078828,1.0,0.0,620.594655246,7.0,9
405.754697775,44.5546010622,609.579648701,1.0,0.0,588.564922665,1.0,0
432.366741241,47.6723230192,716.633982315,1.0,0.0,542.967927225,7.0,4
906.585968332,68.4887206268,918.670267193,1.0,1.0,938.26467499,3.0,8
512.35399361,254.320178079,775.604180346,1.0,0.0,611.924641967,2.0,9
602.333545822,76.4678959526,674.995096485,1.0,0.0,642.597344015,0.0,0
369.651347858,48.1062828772,882.865480975,1.0,0.0,712.797583945,7.0,7
426.528942149,382.020226673,275.703893909,0.0,0.0,536.188887407,7.0,1
637.202943639,292.727657394,860.187478545,0.0,1.0,526.737465521,0.0,6
55.3491669707,36.6037899176,717.770118725,1.0,1.0,388.566751489,5.0,8
593.94881944,92.0786741528,732.064844749,1.0,0.0,648.374304948,2.0,7
371.448223093,319.83345839,608.548877634,1.0,0.0,611.639247119,2.0,9
434.216087563,258.32828621,772.658517242,1.0,0.0,557.238607946,4.0,4
445.544342755,190.516559355,746.368849583,1.0,0.0,576.489474612,7.0,3
875.270737451,193.300788191,283.498739125,1.0,1.0,611.707222692,6.0,2
462.001939019,74.2986388999,623.544709613,1.0,0.0,534.691741228,1.0,9
640.435594425,119.375459253,689.323247083,1.0,0.0,674.870261513,4.0,7
469.155746025,207.060853221,792.019360034,1.0,0.0,598.295634091,7.0,4
540.027189272,29.9660375259,760.625883738,1.0,0.0,640.376834104,0.0,9
354.270567881,179.577862996,579.668445303,1.0,0.0,609.846686937,2.0,9
458.865965401,199.879099735,758.096638333,1.0,0.0,631.216870056,4.0,3
458.21064714,143.291823459,745.434683035,1.0,0.0,608.329577743,2.0,3
435.361560636,106.313218179,738.202317125,1.0,0.0,580.24760924,2.0,4
425.209272975,32.5296941513,564.549165419,1.0,0.0,559.265375633,0.0,9
408.87664653,208.219032587,582.21274648,1.0,0.0,541.060770765,7.0,9
941.243089755,244.60058068,505.935258698,1.0,1.0,802.527366425,3.0,2
451.777368821,91.8009670428,617.301308081,1.0,0.0,601.881502714,2.0,0
950.071539471,115.902965221,513.694074936,1.0,1.0,677.321543768,6.0,2
406.052938336,29.1803264619,794.4883624,1.0,0.0,589.782112642,2.0,4
779.587752691,112.479980497,931.846808301,1.0,1.0,523.146010702,6.0,5
570.333479045,271.270523756,895.372504283,1.0,0.0,602.669671674,2.0,9
418.457312452,289.646265324,599.364511141,1.0,0.0,571.083909518,4.0,0
622.97442169,13.9644519192,663.357122171,1.0,0.0,654.662280951,0.0,0
255.734968054,406.109053342,913.552602523,0.0,0.0,779.408260203,1.0,1
431.296530955,114.865885251,617.335523973,1.0,0.0,590.151229322,2.0,9
382.408591453,65.1041131579,674.783525193,1.0,1.0,523.368391958,5.0,8
387.792211226,69.824935079,814.612122593,1.0,0.0,699.473997504,2.0,7
445.835202328,71.675544018,591.647385465,1.0,0.0,564.555984162,2.0,9
607.644883225,308.852192931,613.044889158,1.0,0.0,580.233574614,2.0,3
548.64440373,252.377254428,849.065888588,1.0,0.0,662.518476292,4.0,9
402.604379536,140.862678585,642.81350365,1.0,0.0,579.589069304,1.0,9
517.614907518,326.585584189,871.766208739,1.0,0.0,700.637638189,2.0,9
605.078796723,88.6711828375,675.938255234,1.0,0.0,663.657323819,2.0,0
924.923469557,78.1737485871,805.560040597,1.0,1.0,636.250109179,5.0,5
979.41887469,93.9419214394,836.690307129,1.0,1.0,975.760504414,6.0,2
589.48116191,43.1843869285,670.145664861,1.0,0.0,638.692600054,7.0,0
394.955279787,75.5504493557,855.332767755,1.0,0.0,727.006897263,2.0,7
571.265050503,43.3203279498,660.122260943,1.0,0.0,635.257039786,7.0,7
484.239784315,60.8108968747,782.229390267,1.0,0.0,588.326675155,4.0,4
590.800194266,203.724972382,656.367899088,1.0,0.0,680.837349752,1.0,0
388.991760576,60.8738238043,580.590551224,1.0,0.0,564.629174274,0.0,0
398.778357087,64.6106294091,850.807240487,1.0,0.0,752.456510191,2.0,7
422.978124012,117.177820128,597.221541958,1.0,0.0,564.344450615,7.0,0
564.715440385,35.4627210475,694.952380351,1.0,1.0,651.242799348,5.0,8
887.603731388,145.021900929,948.364326468,1.0,1.0,576.144492254,5.0,5
594.109093944,62.6252563826,703.470487975,1.0,0.0,624.572251051,7.0,7
444.351624895,295.288808569,691.124212409,1.0,0.0,556.607276326,0.0,3
434.196381357,136.235241195,609.056390463,1.0,0.0,582.550043385,7.0,0
367.141289866,53.6576943173,890.800111838,1.0,0.0,699.778392689,1.0,7
362.704486656,154.482015731,625.242996004,1.0,0.0,523.65412067,1.0,9
799.848623125,148.258470506,664.777308562,1.0,0.0,838.697011057,0.0,4
411.58219878,292.896348064,596.26786565,1.0,0.0,579.601913081,7.0,0
378.16022865,113.39198367,837.894387055,1.0,0.0,724.792658019,4.0,7
506.602337226,43.9640801264,803.873320942,1.0,0.0,602.928901921,1.0,9
171.407944304,467.174380441,784.488055449,0.0,0.0,234.770940053,7.0,1
573.367224958,301.937641919,659.339695187,1.0,0.0,652.517765871,0.0,0
583.31172327,71.131965027,701.878679539,1.0,0.0,692.824414042,2.0,7
368.157700556,47.359034768,590.629408817,1.0,0.0,597.670315765,2.0,9
298.294136362,22.8158532331,598.885185251,1.0,0.0,564.986041911,2.0,9
376.46288717,145.404348968,605.353053945,1.0,0.0,596.384438497,1.0,9
344.014385844,228.267220123,833.23772968,1.0,0.0,708.450376884,2.0,7
397.204688983,46.2906427517,491.106575116,1.0,1.0,813.149576798,3.0,8
385.804893421,147.218174518,710.752975196,1.0,0.0,547.043020082,1.0,4
449.371563341,65.2386199943,756.632253205,1.0,0.0,624.260155096,0.0,3
431.311286448,91.8598812889,698.283490947,1.0,0.0,610.734845974,2.0,9
423.318277797,68.089594034,617.999993544,1.0,0.0,588.867174096,7.0,0
953.219082924,33.7538846387,859.92351934,1.0,1.0,847.838617861,6.0,5
460.595082892,325.801491403,774.563097772,1.0,0.0,581.109135397,1.0,4
380.040653716,62.4702068894,861.026603292,1.0,0.0,724.054942515,2.0,7
423.578011407,149.592089975,711.165495591,1.0,0.0,584.348099686,1.0,3
365.61465838,74.4195945521,624.604687967,1.0,0.0,594.146299286,1.0,9
454.931205425,120.253936993,678.301191021,1.0,0.0,571.964186919,4.0,3
424.816856352,223.683809277,654.968357515,1.0,0.0,593.240879307,4.0,9
910.57098308,107.333869486,715.967079392,1.0,1.0,933.596026396,3.0,2
428.084363256,57.6164673808,593.832085912,1.0,0.0,600.109063732,7.0,0
435.850335667,66.9533060645,609.420560314,1.0,0.0,666.233257868,1.0,9
46.8035659287,36.9857383792,570.002419293,1.0,1.0,646.908878697,5.0,8
642.04923354,77.22206907,652.959510004,1.0,0.0,588.200612722,1.0,3
591.005970667,44.0357289462,664.081211101,1.0,0.0,652.418361424,1.0,0
384.33072429,254.912108029,854.257578758,1.0,0.0,692.099302685,2.0,7
384.310657514,23.782775328,560.24753454,1.0,0.0,562.864138682,4.0,0
569.978045577,323.747647848,842.87937501,1.0,0.0,631.56698012,7.0,9
414.317803037,17.4802946902,603.104931125,1.0,0.0,592.142390149,0.0,0
433.209258463,36.053886639,742.036379461,1.0,0.0,592.829209202,4.0,3
360.106845094,43.9571224175,842.338468157,1.0,0.0,722.46280175,0.0,7
409.821868418,141.240111867,604.120669542,1.0,0.0,578.350469403,7.0,0
397.725073603,203.61603227,586.590200369,1.0,0.0,581.999799326,1.0,9
318.378415278,139.163679825,835.514814231,1.0,0.0,693.153741947,2.0,7
631.795177634,60.1757617326,519.567373763,1.0,1.0,590.59405413,6.0,2
579.996050413,142.410163545,669.499546914,1.0,0.0,629.237433087,4.0,0
433.301509411,102.087044072,612.472656076,1.0,0.0,574.465906689,1.0,0
615.186310051,309.498527443,674.531163759,1.0,0.0,644.031853523,7.0,7
600.54794536,14.7076255214,698.130711596,1.0,1.0,726.177686228,5.0,8
399.948490944,48.1076686478,627.799766562,1.0,0.0,566.907488453,4.0,9
415.211641124,35.5056804351,769.99088303,1.0,0.0,584.724390632,1.0,4
948.726838455,94.8237536687,977.21599441,1.0,1.0,949.942607322,3.0,8
804.640705468,240.993638389,715.365153439,1.0,0.0,853.817458623,1.0,4
791.648029874,215.855518606,723.538041585,1.0,1.0,537.187030772,5.0,5
27.6576676406,137.008881006,307.295108181,1.0,1.0,939.136920833,5.0,8
481.044324592,139.903691345,759.147216327,1.0,0.0,622.204795961,0.0,3
408.535270972,43.3990583613,765.700340066,1.0,0.0,564.190657227,4.0,4
809.0203831,117.947661682,358.149021165,1.0,1.0,978.02019434,6.0,2
432.499485779,119.161588746,745.886621173,1.0,0.0,570.403991182,0.0,4
414.71082393,135.746930172,613.411421771,1.0,0.0,587.224423386,7.0,0
488.373140869,153.997564087,766.237075158,1.0,0.0,652.895101102,0.0,9
780.532959342,196.940913889,672.89033982,1.0,0.0,852.865684037,7.0,4
410.37075075,276.026031718,615.754414371,1.0,0.0,554.769551447,0.0,9
751.693560085,99.4489776514,283.453040523,1.0,1.0,812.365448848,3.0,2
671.091060786,108.796500309,673.582454471,1.0,0.0,618.733694048,0.0,3
390.535334456,121.152094107,839.693598951,1.0,0.0,708.902960235,2.0,7
445.527782876,157.796188081,605.656271019,1.0,0.0,644.708359491,0.0,9
419.974356709,288.496661584,597.188475536,1.0,0.0,579.861172343,0.0,9
629.2060251,204.620827083,646.952716663,1.0,0.0,602.082107959,0.0,3
531.213059679,330.767512607,839.84854974,1.0,0.0,630.683668667,1.0,9
605.168055343,95.0881206495,732.765418756,1.0,0.0,722.66375383,4.0,7
448.40979106,248.790159346,626.495724355,1.0,0.0,593.106141748,4.0,0
401.078442533,111.635403771,586.759595838,1.0,0.0,565.005600606,4.0,0
478.087669028,335.093166457,759.684606023,1.0,0.0,613.751098596,2.0,3
630.117678846,309.742346684,639.985004666,1.0,0.0,590.31467098,1.0,3
621.053184721,157.993732841,698.46020619,1.0,0.0,665.884278215,7.0,7
375.207707724,94.032803021,632.248309366,1.0,0.0,545.467050547,7.0,9
990.276766773,52.027825081,990.975112963,1.0,1.0,972.807018319,5.0,5
377.939827999,168.855048896,632.36620111,1.0,0.0,551.070365981,4.0,9
29.9450722523,82.2755486717,373.842157684,1.0,1.0,848.668665513,3.0,8
604.493394961,241.7215881,674.323174098,1.0,0.0,661.888386319,0.0,0
396.020524859,154.014325041,588.564274594,1.0,0.0,613.409129762,1.0,9
555.572917555,74.0909073391,931.187471416,1.0,1.0,490.865975386,6.0,5
430.960809207,10.5976599827,629.432467321,1.0,0.0,568.768178918,1.0,0
577.994265015,93.4408158566,659.363058225,1.0,0.0,653.891378237,7.0,0
471.485253298,163.979605074,758.650125463,1.0,0.0,609.045517506,1.0,3
438.176173187,278.993907742,561.92532041,1.0,0.0,607.695404396,0.0,9
628.138065735,199.704779029,672.023586735,1.0,0.0,681.931381749,2.0,0
423.071018599,103.119235363,770.505044732,1.0,0.0,587.423513526,2.0,4
409.283018556,147.205203023,622.685258769,1.0,0.0,606.100795359,2.0,9
448.873995461,125.985934197,789.02535528,1.0,0.0,634.41362978,1.0,9
384.729553579,47.501500173,626.942005257,1.0,0.0,614.591167437,4.0,9
332.013830955,70.8185428998,618.405551346,1.0,0.0,558.255984852,2.0,9
854.770786957,94.1636894141,843.354019926,1.0,1.0,793.242313433,5.0,5
409.848260767,68.011173054,579.441734835,1.0,0.0,564.162824568,7.0,0
423.041566304,118.116284019,762.435426232,1.0,0.0,587.54119959,7.0,4
402.957646723,176.7133319,592.783172836,1.0,0.0,549.160914614,4.0,0
443.128211995,166.474421623,695.858630984,1.0,0.0,584.052298225,2.0,3
788.726705224,215.851155555,703.048575287,1.0,0.0,847.215262356,4.0,4
542.136187677,311.197587356,658.763303835,1.0,0.0,618.811523391,0.0,7
504.523624368,75.3363151404,836.725031528,1.0,0.0,639.758503259,1.0,9
966.884889914,292.327710417,984.39654762,1.0,1.0,809.725847095,6.0,5
434.782651245,141.24472302,764.141363009,1.0,0.0,602.041899653,4.0,4
984.577364146,252.786185428,748.135762049,1.0,1.0,312.098046299,5.0,5
260.383035396,379.391839478,536.596016897,0.0,1.0,692.196595969,1.0,6
610.735518997,213.132576042,650.878906213,1.0,0.0,573.346865264,2.0,3
869.266099642,303.471845279,481.051897863,1.0,1.0,538.2202015,3.0,2
580.111624898,95.2099667867,667.594198447,1.0,0.0,669.79272435,1.0,0
417.615676092,154.03885115,585.539158772,1.0,0.0,554.872178986,0.0,0
436.390006081,22.2732928204,739.27175485,1.0,0.0,591.94435886,2.0,4
468.207109763,126.034424601,612.026505076,1.0,0.0,591.583584744,0.0,0
791.640314769,139.042635689,688.305891774,1.0,0.0,847.455901806,4.0,4
642.540513361,159.826068565,661.719636579,1.0,0.0,593.104106311,2.0,3
378.210353363,16.5733726905,611.576371062,1.0,0.0,574.092732237,2.0,9
323.085181182,324.075449008,448.818187445,1.0,1.0,430.101067985,3.0,8
373.354985348,52.1170752239,592.720711313,1.0,0.0,610.285776163,2.0,9
552.383439703,130.382696963,848.96868741,1.0,0.0,659.171366946,1.0,9
427.025295654,330.688502643,600.535854726,1.0,0.0,583.917851073,0.0,0
435.376614451,44.6879579307,675.161520941,1.0,0.0,679.612408584,4.0,9
410.604350916,133.739376278,655.768471509,1.0,0.0,596.781670613,0.0,9
832.326479584,167.278500984,676.969761134,1.0,0.0,864.409611971,2.0,4
394.543081926,86.7805860783,756.438530534,1.0,0.0,578.196683326,1.0,4
448.078204831,95.7729891041,734.40582113,1.0,0.0,565.341827671,2.0,3
382.2057757,247.447853133,581.478246603,1.0,0.0,556.510677708,7.0,9
426.641965065,69.4537357626,618.278603406,1.0,0.0,598.323032031,1.0,0
505.156444149,137.57838182,699.342606986,1.0,0.0,634.633437954,0.0,9
814.983403889,270.484347024,666.80275824,1.0,0.0,849.418575133,7.0,4
730.720491782,112.614217947,530.895760516,1.0,1.0,656.643520294,6.0,2
435.296115532,286.265807107,744.770365405,1.0,0.0,566.502933368,2.0,4
447.159263145,126.119785896,610.625833021,1.0,0.0,583.63330645,2.0,0
397.146047832,48.2084802093,588.607898103,1.0,0.0,644.03013427,7.0,9
797.459889563,52.6042643867,678.763909195,1.0,0.0,857.41627152,1.0,4
420.187811235,133.064796732,656.989533148,1.0,0.0,591.104389008,2.0,9
434.960461317,208.49689657,811.050439121,1.0,0.0,593.453374295,1.0,4
819.73033936,228.154541126,680.190420304,1.0,0.0,859.777937925,1.0,4
372.264577614,75.2282470567,561.336878265,1.0,0.0,538.97606662,2.0,0
646.777051568,155.547109402,681.719544145,1.0,0.0,680.803698602,2.0,0
377.693407821,146.478055698,733.536689899,1.0,0.0,529.538267781,2.0,4
362.655157075,54.50419899,557.359493993,1.0,0.0,582.08522967,0.0,9
389.661526356,16.8350780693,812.563976065,1.0,0.0,699.831493517,2.0,7
465.212736847,203.719931441,693.630065736,1.0,0.0,645.340833885,1.0,9
608.055897021,125.887032665,673.821995009,1.0,0.0,648.922712799,0.0,0
339.569185469,53.7248132028,606.949814528,1.0,0.0,594.737591081,7.0,9
669.098635243,35.5591345127,399.581689388,1.0,1.0,949.957822024,3.0,2
331.624546884,57.8756648507,616.5760343,1.0,0.0,590.083051017,1.0,9
456.350846784,160.864779911,723.904733702,1.0,0.0,626.523732414,2.0,3
381.80167386,209.355244888,667.065620266,1.0,0.0,600.014368475,7.0,9
379.271190562,31.0169241753,850.682704484,1.0,0.0,722.010356221,2.0,7
885.123766385,30.4980253213,890.793597967,1.0,1.0,774.82175664,6.0,5
356.192045042,72.822542811,563.919409682,1.0,0.0,562.826714778,0.0,9
426.189158547,85.0212801055,768.737489699,1.0,0.0,570.21457873,4.0,4
390.484172049,45.5353360015,558.921022177,1.0,0.0,544.342163278,4.0,0
424.779596826,134.957976561,608.372452586,1.0,0.0,578.039263562,0.0,0
588.994254881,88.2610244601,669.057911238,1.0,0.0,653.651076852,0.0,7
373.59600001,33.3726482627,581.427830814,1.0,0.0,552.669126311,4.0,0
393.122574608,64.2090556014,559.608906407,1.0,0.0,614.682833623,1.0,9
465.376142544,32.8847519039,651.707174754,1.0,0.0,572.848375123,2.0,9
613.833346121,173.191604058,666.534254617,1.0,0.0,605.695651545,0.0,3
350.393178964,37.0575921628,259.164701216,1.0,1.0,785.591522773,3.0,2
562.194061792,224.732177524,652.830822321,1.0,0.0,639.617666982,4.0,0
40.885226156,406.109053342,573.596660748,0.0,0.0,356.041106888,4.0,1
629.655492396,309.373866978,426.410597477,0.0,1.0,709.993069324,1.0,6
447.78889816,159.663071223,645.134727515,1.0,0.0,604.200815922,4.0,9
428.611232874,220.417020871,653.477081091,1.0,0.0,636.858155905,2.0,9
392.455961408,285.33125968,567.220063555,1.0,0.0,580.734866467,4.0,9
424.364937166,139.145105212,621.36878849,1.0,0.0,568.398149427,7.0,0
372.850160542,150.58767665,558.544946811,1.0,0.0,575.389133595,4.0,9
560.605661389,21.8533174716,832.78351198,1.0,0.0,656.118147176,1.0,9
568.373349425,107.10695865,715.478565879,1.0,0.0,674.842081206,7.0,7
326.842396753,22.9410447863,950.050846526,1.0,1.0,507.003523083,3.0,8
410.130697305,406.109053342,292.656797278,0.0,0.0,481.019185116,7.0,1
449.642100698,203.516334016,751.748849398,1.0,0.0,620.119248616,1.0,9
61.6207561115,462.790079399,862.077867969,0.0,0.0,275.224491362,1.0,1
385.759384157,211.280777197,843.211905448,1.0,0.0,711.251743881,4.0,7
365.734639416,460.015388417,235.024943234,0.0,0.0,529.46740254,0.0,1
435.90658169,138.474254667,747.541467002,1.0,0.0,574.675430186,7.0,4
386.62174821,52.2837290147,634.226334555,1.0,0.0,614.166189591,0.0,9
582.647593867,194.095030166,686.748289816,1.0,0.0,647.112342422,1.0,7
436.425209825,38.5403745099,616.724853697,1.0,0.0,588.608927478,1.0,0
562.230761056,120.004960664,842.566582096,1.0,0.0,631.269519008,0.0,9
442.918464611,331.201877876,838.040424029,1.0,0.0,634.974974272,1.0,4
816.662091052,74.7002156366,721.768764393,1.0,1.0,363.720385358,6.0,5
437.63263839,109.21441322,761.64475535,1.0,0.0,567.701942359,4.0,4
472.529919735,195.774817442,653.172319773,1.0,0.0,592.576146889,7.0,9
373.05220012,153.285751318,607.024257003,1.0,0.0,567.531451951,7.0,9
992.263982774,106.744837754,929.608677747,1.0,1.0,939.876053736,6.0,2
462.535713682,191.686203808,730.261492963,1.0,0.0,678.439561815,1.0,9
474.35188191,137.159815223,818.38630336,1.0,0.0,659.6312677,7.0,9
222.547829301,38.9734733788,614.794543352,1.0,1.0,599.425506137,5.0,5
407.766028564,175.781589622,604.951273787,1.0,0.0,636.233002788,7.0,9
432.36187568,110.643082114,774.563602307,1.0,0.0,568.463414745,2.0,4
428.025955373,135.424601201,635.634414187,1.0,0.0,531.217477149,1.0,9
435.020900886,32.251562123,601.7318243,1.0,0.0,563.938666527,4.0,9
407.790168684,59.242079372,585.1886357,1.0,0.0,585.589040268,4.0,9
653.181717952,160.600982261,668.367890708,1.0,0.0,610.836854481,4.0,3
977.075994646,12.9817762686,922.471759695,1.0,1.0,840.983304195,5.0,5
589.3372874,113.5614375,653.355953098,1.0,0.0,635.588547306,1.0,0
574.083958011,87.1070181533,894.623339815,1.0,0.0,644.239421468,2.0,9
809.56037632,283.27137607,503.047359384,1.0,1.0,237.078776117,5.0,5
451.523810853,164.574776301,729.149014949,1.0,0.0,628.153991602,4.0,3
612.436217041,79.4014650261,640.382967512,1.0,0.0,600.140362693,1.0,3
420.489536381,178.099802683,584.554862847,1.0,0.0,560.444403208,4.0,0
401.257631679,150.232448883,589.509770302,1.0,0.0,577.863078443,0.0,0
99.9412359434,196.587005491,756.862719772,1.0,1.0,599.425506137,6.0,5
598.688809173,192.647407468,673.318881984,1.0,0.0,652.210257685,4.0,0
435.028671128,103.037948718,714.68850926,1.0,0.0,608.773889613,2.0,3
367.062202163,82.156360261,865.967812304,1.0,0.0,699.764005758,4.0,7
590.389066289,106.381987728,648.585605587,1.0,0.0,661.075434069,4.0,7
388.728927813,138.39754674,583.331958151,1.0,0.0,584.573290877,1.0,9
385.084390748,157.505826238,614.46665438,1.0,0.0,612.535991585,0.0,9
353.767460686,136.896145188,613.559559343,1.0,0.0,611.354859613,0.0,9
459.744806555,193.165858825,716.787541694,1.0,0.0,587.558933615,2.0,3
432.21691709,172.275109486,766.054533334,1.0,0.0,583.774986247,7.0,4
846.620577155,197.166232588,996.514209189,1.0,1.0,919.514068855,3.0,8
528.44728902,109.63841233,744.15388921,1.0,1.0,671.268621545,5.0,8
478.210168259,104.831886023,774.445623161,1.0,0.0,581.491468304,1.0,4
573.805534746,184.31763067,645.130666294,1.0,1.0,778.143715258,5.0,8
339.647236979,33.6538486123,532.297710004,1.0,1.0,637.973155005,5.0,8
406.044098289,156.352717288,607.816888295,1.0,0.0,583.421970998,2.0,0
658.606541647,314.99960763,826.967036548,0.0,1.0,542.168571163,1.0,6
411.005809613,70.9638957838,597.791271326,1.0,0.0,632.659169812,0.0,9
561.785236956,195.082616813,649.635501916,1.0,0.0,653.024990068,0.0,0
950.890821955,27.6770020698,967.300245585,1.0,1.0,943.883676315,5.0,5
384.369409676,47.5403621125,636.318321401,1.0,0.0,568.822674437,4.0,9
513.796047413,18.7911909049,715.509531177,1.0,0.0,556.335768147,0.0,9
395.353471917,314.129391088,736.234798723,1.0,0.0,548.747231786,0.0,4
458.477796134,258.654505494,744.74811014,1.0,0.0,617.14022952,1.0,3
551.372565839,42.5489372858,708.064513375,1.0,0.0,602.337303065,1.0,9
419.823667525,65.7081573746,607.932474524,1.0,0.0,588.465262959,4.0,0
764.43828198,114.797118092,291.48633685,1.0,1.0,504.084165701,3.0,2
891.522559359,58.4357986959,872.71712604,1.0,1.0,956.962009669,6.0,2
370.303467129,85.1021023796,577.210869889,1.0,0.0,550.157632658,1.0,9
