,Vote,Occupation_Satisfaction,Avg_monthly_expense_when_under_age_21,AVG_lottary_expanses,Most_Important_Issue,Avg_Residancy_Altitude,Looking_at_poles_results,Yearly_ExpensesK,Married,Gender,Voting_Time,Financial_balance_score_(0-1),%Of_Household_Income,Avg_government_satisfaction,Avg_education_importance,Avg_environmental_importance,Avg_Satisfaction_with_previous_vote,Avg_monthly_income_all_years,%Time_invested_in_work,Yearly_IncomeK,Avg_monthly_expense_on_pets_or_plants,Avg_monthly_household_cost,Will_vote_only_large_party,Phone_minutes_10_years,Avg_size_per_room,Weighted_education_rank,%_satisfaction_financial_policy,Garden_sqr_meter_per_person_in_residancy_area,Last_school_grades,Age_group,Number_of_differnt_parties_voted_for,Political_interest_Total_Score,Number_of_valued_Kneset_members,Main_transportation,Occupation,Overall_happiness_score,Num_of_kids_born_last_10_years,Financial_agenda_matters,split
15,Reds,4.0,659.901610948,136141.552241,Education,219.967203649,No,618.917502164,No,Male,After_16:00,0.351158706471,0.183623137884,2.14865933638,7.18925170135,3.10346725164,4.27666595438,6535.0,85.5544387596,700.466566775,7590.10815519,83535.0601708,Yes,383058.874485,26.4663289252,982673.832767,71.334164287,48615.5378849,100.0,30-45,1.0,1061.35812318,2.0,Motorcycle_or_truck,Industry_or_other,738.092925739,0.0,No,train
16,Reds,10.0,835.721677408,100920.457782,Environment,278.573892469,No,362.275362156,Yes,Male,After_16:00,0.96163743292,0.275621754816,0.890116861556,9.55265465192,5.24332439993,3.30911157653,8279.0,13.7685709633,694.497953891,5011.74952935,81385.359347,Yes,131243.438026,26.3533290855,965882.171362,11.7554700468,77891.9874579,90.0,45_and_up,1.0,1088.81573557,18.0,Foot_or_bicycle,Public_Sector,855.080081699,0.0,No,train
17,Whites,10.0,99.6883511733,21739.6331171,Military,33.2294503911,No,654.227887047,No,Female,After_16:00,0.155914471252,,6.16138962097,1.83863207698,9.89307595883,0.794862208422,6512.0,81.1215313617,730.995504047,8004.26987857,84823.5417982,Yes,428014.128191,27.0369285247,1070034.90904,67.40342048,1147.42582369,30.0,Below_30,4.0,1054.23238136,6.0,Public_or_other,Services_or_Retail,661.827278028,1.0,Yes,train
18,Blues,10.0,477.005540875,92186.7942162,Healthcare,159.001846958,No,579.784423764,No,Male,By_16:00,0.690316163702,0.198524841806,3.41067095986,9.4528351631,5.68101092475,1.39158835169,5733.0,17.0695242705,643.413501231,7084.67124011,76259.7825956,Yes,336149.97804,25.3655968042,829200.797961,0.592427700758,25450.5891831,80.0,Below_30,1.0,961.623795508,5.0,Motorcycle_or_truck,Hightech,649.146404047,1.0,No,train
19,Blues,10.0,487.857863107,93871.1174388,Education,162.619287702,No,577.244672296,No,Female,By_16:00,0.524855276803,0.613582891878,5.6626683916,9.19628464384,1.54738461599,2.8134973417,7933.0,37.5082053943,652.893246483,7078.23321593,77303.118972,Yes,333211.411695,25.551775799,853789.840314,99.0508465562,26617.6520205,100.0,45_and_up,1.0,977.034906984,18.0,Motorcycle_or_truck,Public_Sector,663.41303584,0.0,No,train
20,Oranges,8.0,176.017675665,21565.758997,Financial,58.672558555,No,367.561250577,Yes,Male,After_16:00,0.690570772393,0.286923886742,2.85722472705,8.84796132101,1.74696990522,6.01520839846,4656.0,71.6432590503,579.302216804,4834.21693937,70324.0382684,Yes,135101.272925,24.0686978627,672330.60498,74.4733958272,3511.14168595,60.0,Below_30,2.0,943.591591143,16.0,Motorcycle_or_truck,Services_or_Retail,770.926941924,1.0,No,train
22,Yellows,7.0,223.026474607,43716.815652,Healthcare,74.3421582024,No,588.048782939,,Female,By_16:00,0.523597079096,0.0547750811093,7.07851858344,7.78507604962,4.03183629038,3.81347276503,6579.0,66.3176965201,639.566287877,7159.62040514,80400.498766,Yes,345801.371116,25.2896478401,819524.572674,77.0253062015,5611.09864439,80.0,Below_30,2.0,1052.63989447,18.0,Public_or_other,Hightech,836.450714171,0.0,No,train
23,Whites,5.0,377.706141684,58746.9813057,Foreign_Affairs,125.902047228,No,466.608626302,Yes,Female,By_16:00,0.882144154981,0.767243814887,3.16897478653,9.82622225769,8.09790743515,4.05907692155,6860.0,33.762729913,698.888510164,6063.86328335,82589.3412136,Yes,217723.61014,26.4364995823,978181.947634,85.4596072342,15987.2275434,40.0,30-45,3.0,1083.18038598,2.0,Car,Student_or_Unemployed,815.039728407,0.0,Yes,train
24,Greys,4.0,162.461946564,21278.9576852,Healthcare,54.1539821881,No,392.934311115,Yes,Female,After_16:00,0.735137200681,0.610530333826,5.2296953951,3.1045308942,5.46864249045,3.91152820317,3403.0,92.8435654147,543.063941263,5015.47099368,65735.6250231,Yes,154397.372852,23.3037323462,590918.5458,38.1848409772,2996.80776902,80.0,Below_30,0.0,867.412422446,10.0,Foot_or_bicycle,Student_or_Unemployed,678.722888395,1.0,No,train
28,Greys,9.0,179.543680058,27733.7612973,Healthcare,59.8478933527,No,463.404135779,Yes,Female,After_16:00,0.430622293148,0.17457172717,6.03666674811,1.53945588274,8.45455683069,0.705574923195,5840.0,13.2539944258,623.378848101,5880.79905399,74843.7033338,Yes,214743.393057,24.9675559096,778419.064358,37.6325972378,3651.61823211,80.0,45_and_up,1.0,979.023228553,3.0,Foot_or_bicycle,Student_or_Unemployed,743.283703368,0.0,No,train
30,Pinks,4.0,454.161063358,126932.562045,Other,151.387021119,No,838.463965448,No,Male,By_16:00,0.723213713616,0.428436212009,6.7661170545,2.98818388721,5.92242767103,7.02309360495,9415.0,10.366323241,674.017699901,9732.67505429,86201.4494547,Yes,703021.821356,25.9618508566,910231.929006,81.3098880928,23079.4171845,50.0,45_and_up,1.0,1082.33506667,1.0,Public_or_other,Student_or_Unemployed,783.745480435,1.0,Yes,train
31,Yellows,2.0,973.196357144,125608.472115,Financial,324.398785715,No,387.203891155,Yes,Female,By_16:00,0.912312682252,0.209732400952,7.36616106005,9.76008133031,4.66382720973,5.38512743078,9049.0,81.7240055418,623.838274254,5119.71546005,69798.5651805,Yes,149926.853325,24.9767546782,779324.242526,71.2727141101,105568.970959,60.0,30-45,2.0,889.501729216,6.0,Public_or_other,Industry_or_other,578.653786544,2.0,No,train
32,Reds,8.0,267.893698329,35579.2183785,Social,89.2978994431,No,398.432870207,Yes,Female,After_16:00,0.297253112309,0.448428574018,2.00159518747,6.39730398543,9.97538997792,5.01840817276,3942.0,90.7754317624,771.27098295,5526.87066797,88182.8539122,Yes,158748.752061,27.7717659314,1190983.15274,49.6299243066,8073.4127444,70.0,Below_30,3.0,1162.41796478,16.0,Car,Student_or_Unemployed,856.861586205,0.0,No,train
33,Reds,,324.024282178,40185.2465429,Healthcare,108.008094059,No,372.057732273,Yes,Female,By_16:00,0.584109788993,0.908069351921,8.71293867473,6.84504490113,3.41298486339,5.82868769532,7091.0,64.1126756789,693.965384006,5108.50809074,81076.5051853,Yes,138426.956144,26.3432227339,964394.239739,86.2382113235,11783.7564764,80.0,Below_30,3.0,1079.91142353,11.0,Motorcycle_or_truck,Industry_or_other,836.273609399,0.0,No,train
37,Pinks,4.0,41.9050028232,13853.7954366,Other,13.9683342744,No,991.80010762,No,Male,By_16:00,0.286401512334,0.367049158784,8.0937171448,1.33255376481,4.52408774756,8.1305891322,8113.0,69.0646441653,990.120273083,11898.2416224,118908.715172,Yes,983667.453475,31.4661766518,1962671.08834,74.7690156102,219.082696676,50.0,30-45,4.0,1486.7772021,1.0,Motorcycle_or_truck,Hightech,992.97789113,1.0,Yes,train
40,Pinks,2.0,290.838463376,16742.0322132,Military,96.9461544588,No,172.69413425,Yes,Female,After_16:00,0.337974476861,0.736314727925,8.87815953,6.32880258374,7.20383649692,2.44277560851,7631.0,97.573485435,114.433269948,1955.8078824,20129.1961844,Yes,29823.2640044,10.6973487345,26722.1508634,37.1592930518,9505.50301881,30.0,45_and_up,4.0,295.014449993,16.0,Motorcycle_or_truck,Industry_or_other,349.51018723,0.0,Yes,train
41,Browns,4.0,2018.64729205,324684.925531,Education,672.882430684,Yes,482.528463703,Yes,Male,By_16:00,0.339137614472,0.967638190137,8.21463641012,8.12936633127,5.13526001014,1.05385021074,6583.0,91.1442559911,698.08660498,6221.45784699,74152.2131108,No,232833.718284,26.4213285998,975581.575038,86.288211518,453453.647954,100.0,Below_30,2.0,896.146026274,10.0,Public_or_other,Industry_or_other,439.230470845,5.0,No,train
43,Pinks,10.0,128.101767222,31333.9136159,Other,42.7005890741,No,733.805183847,No,Female,After_16:00,0.651963574812,0.416820739163,5.54893234046,3.54463380063,1.28574802075,5.28383949306,6516.0,93.6471841065,428.070988273,8194.19381502,68297.9351414,Yes,538470.047841,20.6898764683,368171.502315,11.6915846709,1876.04089635,50.0,30-45,2.0,927.72197205,3.0,Public_or_other,Industry_or_other,938.155128439,1.0,Yes,train
45,Oranges,6.0,272.87642367,40334.9774956,Healthcare,90.9588078899,No,443.442239749,Yes,Female,After_16:00,0.0103049362078,0.146993133007,3.19010442123,0.447338330559,5.20921021001,9.60477761226,,11.3117785426,606.354426499,5647.13125049,73328.0546258,Yes,196641.019994,24.6242649941,736536.179067,0.455302512273,8374.46354065,80.0,45_and_up,1.0,965.74108674,19.0,Public_or_other,Hightech,751.355757834,4.0,No,train
46,Blues,5.0,98.6503985235,18775.2074185,Education,32.8834661745,No,570.961933235,No,Male,After_16:00,0.358518776484,0.0031078311149,9.52882331796,6.1762016057,6.19894335279,4.33587343665,8475.0,9.73978880793,642.179913051,6993.97915845,75967.8444954,Yes,325997.529204,25.3412689708,826018.308541,99.2968412116,1124.20581382,100.0,45_and_up,2.0,958.690693032,20.0,Public_or_other,Services_or_Retail,647.265155926,2.0,No,train
47,Reds,1.0,275.097129549,34922.3791825,Education,91.6990431831,No,380.836898295,Yes,Female,By_16:00,0.389543169644,0.78606451978,6.18144010426,4.9009674741,9.25630731275,6.67455884628,3443.0,26.0532152373,670.25393412,5148.87685119,79421.9431599,Yes,145036.743103,25.8892629119,899711.831094,65.2533797547,8510.41356389,100.0,30-45,3.0,1061.47312531,5.0,Motorcycle_or_truck,Services_or_Retail,840.321789536,1.0,No,train
51,Whites,10.0,35.8207051098,319.749905359,Military,11.9402350366,No,26.7791969236,Yes,Male,After_16:00,0.317313627107,0.239501458127,2.18744910788,4.93038564688,2.92708738009,0.794736826792,5540.0,84.1149086365,294.677093139,857.146155513,31390.7894614,Yes,717.125387873,17.1661612814,174026.01745,65.0235421257,164.509447766,30.0,45_and_up,4.0,427.917209226,11.0,Foot_or_bicycle,Industry_or_other,320.059811418,0.0,Yes,train
52,Blues,4.0,714.115234106,96557.7227653,Environment,238.038411369,No,405.639250447,Yes,Female,After_16:00,0.447492790874,0.409901795676,0.610984729137,6.86279021436,0.809026509523,7.15206278255,6161.0,47.9306046618,577.855483013,5212.1034705,66732.0080268,Yes,164543.201503,24.0386248154,668841.19697,71.9038702315,56910.3236983,90.0,30-45,0.0,856.453471237,20.0,Motorcycle_or_truck,Services_or_Retail,591.639222961,1.0,No,train
53,Browns,2.0,1286.97559907,323476.588876,Education,428.991866356,Yes,754.038978929,No,Male,After_16:00,0.929938349407,0.148674122756,6.37033261824,3.57053582557,5.99556713132,4.3147163745,4810.0,98.5903816298,185.791705548,7911.97320039,39886.0973944,No,568574.781744,13.6305431127,70331.7676494,65.6152184121,184473.013266,100.0,45_and_up,3.0,507.92291786,15.0,Foot_or_bicycle,Hightech,530.612969949,0.0,No,train
55,Blues,4.0,265.552477874,36808.270318,Financial,88.5174926247,No,415.830467251,Yes,Male,By_16:00,0.0468888932373,0.154760033591,8.17489044042,8.8855421287,5.3516073036,5.09060537443,6493.0,85.0674413377,548.845611869,5255.99589625,64472.2341067,Yes,172914.977494,23.4274542336,603475.601247,95.5627584131,7933.86399319,60.0,Below_30,1.0,828.923819448,10.0,Foot_or_bicycle,Student_or_Unemployed,586.759444081,1.0,No,train
57,Reds,1.0,282.693626986,35509.798917,Financial,94.2312089954,No,376.836923728,Yes,Male,After_16:00,0.319301386829,0.270086182747,5.6026602746,2.36816393444,5.31396625796,4.11785349483,5043.0,37.5612878706,690.806071986,5149.98138126,81190.2090649,Yes,142006.067085,26.2831899127,955661.568831,61.5617564647,8983.75195772,60.0,30-45,1.0,1083.74601809,1.0,Car,Industry_or_other,848.673721851,,No,train
58,Yellows,5.0,618.499761546,105442.489615,Education,206.166587182,No,511.443154085,No,Female,After_16:00,0.524354503024,0.0671279777307,4.10046637291,4.58384681726,9.08866435755,9.02240557596,5975.0,40.2973198565,621.313588867,6357.05871859,76306.1635747,Yes,261574.09986,24.9261627385,773361.139918,86.3454859238,42720.8282574,100.0,30-45,3.0,999.599215951,13.0,Motorcycle_or_truck,Public_Sector,778.545341124,0.0,No,train
62,Pinks,5.0,359.331390795,89702.9063699,Other,119.777130265,No,748.915140739,No,Female,By_16:00,0.828567269491,0.670909694629,6.10588449519,8.93284543883,4.19808859238,9.26670827204,7472.0,15.9553171135,731.244324706,8951.64005681,89496.5989811,Yes,560873.888029,27.0415296296,1070989.59195,25.5858186632,14476.3380648,50.0,45_and_up,2.0,1130.08739787,5.0,Public_or_other,Student_or_Unemployed,794.15198313,0.0,Yes,train
63,Whites,6.0,218.273303415,72246.1073494,Military,72.7577678049,No,992.967617465,No,Female,After_16:00,0.0125790447928,0.493516346673,0.0217986851931,2.43785687257,3.81293714279,3.73790377518,5657.0,96.2167746853,998.060956503,11925.7980877,119632.775025,Yes,985984.689334,31.5921027553,1994250.28945,35.3841366945,5376.45054376,30.0,Below_30,4.0,1495.5396445,8.0,Motorcycle_or_truck,Industry_or_other,995.976043806,1.0,Yes,train
64,Blues,6.0,700.355236739,137822.935805,Education,233.45174558,No,590.370123227,No,Male,After_16:00,0.540770697175,0.303346654167,2.54474982852,4.15729948087,6.8766506738,9.26042643376,4377.0,55.2238315111,642.027171125,7187.75557452,76732.5857799,Yes,348536.882399,25.3382550923,825664.847918,48.8339509815,54743.1692598,100.0,30-45,1.0,970.21190101,14.0,Car,Hightech,666.70086935,0.0,No,train
66,Oranges,1.0,522.451532987,72300.7921398,Financial,174.150510996,No,415.162675816,Yes,Male,By_16:00,0.499191056937,0.124709739815,9.69869925408,9.96074612485,8.50646582898,8.96564436611,3749.0,9.76084279828,592.825850409,5337.27845898,72176.5344786,Yes,172360.047391,24.3480153279,704079.388369,91.6014627088,30512.5509911,60.0,45_and_up,3.0,959.683466798,13.0,Foot_or_bicycle,Services_or_Retail,769.247867696,0.0,No,train
67,Reds,6.0,298.199945558,44076.2679465,Healthcare,99.3999818526,No,443.423299733,Yes,Female,By_16:00,0.623969593784,0.896075040568,3.17349201068,5.70515506435,8.89899337431,1.04006482521,8219.0,82.6967643341,734.976974121,5904.18694557,86424.0331421,Yes,196624.222746,27.110458759,1081709.10563,39.1444914741,9989.75637416,80.0,30-45,4.0,1142.51028314,13.0,Public_or_other,Student_or_Unemployed,873.377352909,0.0,No,train
68,Yellows,1.0,803.166131744,131723.267823,Financial,267.722043915,No,492.015023854,Yes,Male,After_16:00,0.288268720265,0.55472233519,0.141643749084,9.9915238237,3.33186321659,2.30586605845,8266.0,72.5865616463,573.97916205,6068.10856264,72607.7667748,Yes,242078.783698,23.9578622179,660202.918847,86.4312523045,71952.8148417,60.0,30-45,1.0,964.156191823,4.0,Foot_or_bicycle,Student_or_Unemployed,796.746887185,0.0,No,train
69,Oranges,3.0,457.389968931,66538.9848138,Social,152.463322977,No,436.426174601,Yes,Female,After_16:00,0.624124303693,0.182330518262,8.19469247013,1.25446179416,2.71974553354,7.87530906731,4978.0,60.9977268614,572.813947108,5509.88964022,70792.1391518,Yes,190467.805877,23.9335318561,657441.009064,74.9456235673,23407.5281762,70.0,Below_30,1.0,940.64861366,6.0,Car,Public_Sector,762.946887606,0.0,No,train
72,Blues,2.0,589.714227999,85765.9468806,Financial,196.571409333,No,436.309365495,Yes,Male,By_16:00,0.103386359056,0.47406589007,4.02872286737,1.41823907616,1.00730702281,4.16732741753,7217.0,13.2906278828,573.207546939,5509.50874883,67402.333537,Yes,190365.862419,23.9417532136,658194.374429,8.65010488778,38846.8903764,60.0,Below_30,3.0,866.658393327,6.0,Public_or_other,Public_Sector,614.281329066,0.0,No,train
74,Yellows,10.0,217.525847292,34363.2562939,Education,72.508615764,No,473.919629162,Yes,Female,By_16:00,0.846473381389,0.622639175737,0.229310593568,0.484930877574,1.50994315743,5.52842774661,6465.0,0.445260084234,665.595121781,6070.38653518,75747.2119936,Yes,224599.814905,25.7991302524,887145.607061,60.7637680601,5340.00797577,100.0,45_and_up,4.0,960.405149809,1.0,Motorcycle_or_truck,Student_or_Unemployed,627.95515458,0.0,No,train
75,Pinks,4.0,184.024953489,52268.0171157,Other,61.341651163,No,852.080374829,No,Female,After_16:00,0.248762766831,0.0908682320733,6.9149027369,0.0873642042279,4.63828708278,7.44153543608,6325.0,19.448756869,399.287156528,9319.37806135,60047.4835721,Yes,726040.965169,19.9821709663,320314.683836,52.1357989404,3834.13981857,50.0,Below_30,2.0,,12.0,Foot_or_bicycle,Hightech,592.136725122,0.0,Yes,train
76,Yellows,1.0,135.693328911,18242.4599046,Healthcare,45.2311096369,No,403.316656413,Yes,Female,By_16:00,0.588408660842,0.721821155632,7.06978682661,5.57946694316,0.057000159286,4.74463988096,4911.0,6.32246616296,574.039879384,5181.2463229,66675.3400731,Yes,162664.32534,23.9591293536,660061.046667,13.5822572745,2101.08438863,80.0,30-45,0.0,859.049438899,13.0,Public_or_other,Services_or_Retail,604.163763625,1.0,No,train
77,Yellows,7.0,272.161201524,37856.2588362,Environment,90.7204005081,No,417.284961533,Yes,Female,By_16:00,0.312014314812,0.408647854114,4.58759441739,3.53280350799,4.79332539253,9.4902990805,4700.0,41.8312946567,665.976077575,5504.80177048,78002.9533559,Yes,174126.739121,25.8065123094,888242.122975,2.5361854583,8330.91146885,90.0,45_and_up,0.0,1024.3900704,13.0,Foot_or_bicycle,Public_Sector,766.566208863,0.0,No,train
80,Reds,1.0,338.933158487,43275.9475921,Social,112.977719496,No,383.048514214,Yes,Female,By_16:00,0.446316753281,0.713714671088,2.58874467807,6.6395598161,6.40304237138,3.83884641109,7553.0,49.6451683808,694.005667392,5218.49647692,81163.1082143,Yes,146726.164241,26.34398731,964512.556478,34.6104061697,12886.942822,70.0,45_and_up,,1078.79756254,3.0,Foot_or_bicycle,Student_or_Unemployed,831.775220929,3.0,No,train
81,Yellows,1.0,885.257715087,119849.225189,Environment,295.085905029,No,406.150287582,Yes,Female,After_16:00,0.381416705204,0.496694352943,6.02516644634,7.84813889535,8.435808504,2.57364293793,7299.0,68.4556866297,594.463242665,5250.42936115,69044.6029938,Yes,164958.056103,24.3816169001,707823.287033,18.6587863835,87380.7772518,90.0,Below_30,2.0,892.653440454,12.0,Public_or_other,Student_or_Unemployed,634.042986595,1.0,No,train
82,Reds,8.0,441.360811067,54870.6883276,Healthcare,147.120270356,No,372.964841588,Yes,Female,After_16:00,0.874081076588,0.297966385726,4.33459880529,4.67006788356,1.79830299225,1.78151976317,4364.0,69.5089369547,710.319694268,5150.28780442,82965.525603,Yes,139102.773061,26.6518234698,1010351.95087,90.2240097523,21801.4942199,80.0,Below_30,1.0,1107.00916019,3.0,Foot_or_bicycle,Hightech,860.849902372,0.0,No,train
84,Purples,2.0,6.7377147969,1421.60582167,Financial,2.2459049323,Yes,632.976846536,No,Female,After_16:00,0.0119312740862,0.808804530185,3.90067707049,2.95221918263,7.19489498762,4.41709146369,8935.0,62.5828634948,535.46061553,7400.68969642,66870.1387966,No,400659.688251,23.1400219432,574656.191595,53.0340082245,17.2899938972,60.0,45_and_up,3.0,833.748829134,9.0,Foot_or_bicycle,Industry_or_other,577.073181006,0.0,Yes,train
85,Blues,1.0,161.755188447,21444.2819571,Healthcare,53.9183961492,No,397.717356016,Yes,Male,After_16:00,0.185040083248,0.383486053441,3.83192596491,1.00889719324,8.7734312634,0.553874371108,5979.0,15.0712062139,576.371483983,5129.91652813,66436.5534361,Yes,158179.095277,24.0077380022,665405.702874,80.6260192301,2971.11183945,80.0,45_and_up,1.0,853.411281298,8.0,Motorcycle_or_truck,Services_or_Retail,589.810420224,1.0,No,train
88,Reds,4.0,141.172861024,27839.4138383,Social,47.0576203414,No,591.602670011,No,Female,After_16:00,0.904753545532,0.983944960637,3.96749276202,1.75089277793,5.06564846961,6.15610265173,5246.0,82.7356969938,666.355026406,7248.73675292,79914.5617355,Yes,349993.719164,25.8138533816,889379.163112,54.1494652629,2271.47725254,70.0,45_and_up,2.0,1018.63879583,6.0,Car,Services_or_Retail,719.518010124,0.0,No,train
90,Blues,2.0,258.648034213,50565.5013945,Healthcare,86.2160114044,No,586.49780442,No,Female,After_16:00,0.266292248154,0.0270793100353,7.07561192103,4.20911158202,1.40433251159,3.71745226439,6830.0,90.5824610265,668.062704996,7201.10345419,79317.4111632,Yes,343979.674589,25.8469090027,893903.44177,7.35991902184,7529.41663389,80.0,30-45,3.0,1005.60039077,7.0,Foot_or_bicycle,Hightech,691.38835167,1.0,No,train
91,Reds,7.0,460.283289313,56044.1145181,Social,153.427763104,No,365.28013825,Yes,Female,By_16:00,0.80446045869,0.990126197226,2.96705154469,8.25905457605,9.43544610403,6.59820020897,9472.0,83.6840715958,709.315517479,5071.43241746,82711.6004604,Yes,133429.5794,26.6329780062,1007491.26928,91.0018461756,23703.5062543,70.0,30-45,1.0,1104.40321242,12.0,Motorcycle_or_truck,Student_or_Unemployed,858.982465734,1.0,No,train
93,Whites,1.0,185.02800506,6275.4997074,Foreign_Affairs,61.6760016868,No,101.749457419,Yes,Female,By_16:00,0.670859744772,0.951500082156,9.39323135884,6.83053086512,0.701895607635,8.64470996894,6003.0,69.139507995,994.187788378,3005.87015094,91436.9225431,Yes,10352.952085,31.530743543,1977372.73434,98.9240807481,3875.60518575,40.0,45_and_up,2.0,1126.07783999,13.0,Motorcycle_or_truck,Student_or_Unemployed,442.267769426,0.0,Yes,train
94,Reds,7.0,648.330119449,129506.000448,Environment,216.110039816,No,599.259527959,No,Male,After_16:00,0.951880737906,0.858925807755,2.20771781169,5.61807322083,0.608695314731,3.02019720897,3386.0,86.4009577315,639.100400279,7270.79608015,77757.8452763,Yes,359111.98185,25.2804351284,818222.789813,95.3513748711,46929.6593492,90.0,45_and_up,1.0,992.559819105,8.0,Motorcycle_or_truck,Public_Sector,714.887012117,4.0,No,train
